,AssessorID,FLD_ZONE,ZONE_SUBTY
412,6169-029-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
413,6169-027-021,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
414,6167-010-038,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
415,6167-010-037,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
416,6169-026-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
417,6169-028-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
418,6169-024-027,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
419,6169-023-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
420,6169-023-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
421,6169-024-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
422,6167-033-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
423,6177-004-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
424,6177-005-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
425,6176-004-056,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
426,6167-022-019,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
427,6176-003-040,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
428,6167-033-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
429,6176-017-031,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
430,6176-015-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
431,6177-005-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
432,6167-028-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
433,6167-034-032,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
434,6176-017-036,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
435,6167-031-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
436,6167-033-029,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
437,6167-022-008,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
438,6184-015-039,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
439,6177-005-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
440,6167-034-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
441,6167-021-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
442,6184-015-045,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
443,6176-004-055,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
444,6177-005-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
445,6177-005-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
446,6167-030-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
447,6167-021-011,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
448,6177-005-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
449,6176-004-038,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
450,6167-031-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
451,6176-005-026,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
452,6167-028-900,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
453,6176-017-030,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
454,6167-033-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
455,6184-015-040,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
456,6176-017-013,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
457,6177-005-013,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
458,6167-031-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
459,6167-022-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
460,6176-016-035,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
461,6176-015-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
462,6167-033-011,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
463,6176-015-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
464,6167-031-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
465,6178-024-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
466,6178-006-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
467,6183-001-032,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
468,6178-024-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
469,6183-005-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
470,6178-013-901,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
471,6184-018-034,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
472,6178-014-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
473,6183-002-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
474,6178-025-027,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
475,6178-013-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
476,6183-001-031,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
477,6178-006-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
478,6178-024-021,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
479,6183-001-029,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
480,6178-025-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
481,6183-001-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
482,6183-001-022,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
483,6178-019-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
484,6183-003-900,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
485,6183-002-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
486,6178-020-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
487,6183-003-019,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
488,6183-001-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
489,6178-025-022,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
490,6178-023-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
491,6183-003-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
492,6178-025-014,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
493,6178-024-002,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
494,6178-019-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
495,6183-001-019,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
496,6183-002-012,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
497,6178-024-008,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
498,6178-023-008,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
499,6178-025-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
500,6184-019-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
501,6178-019-007,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
502,6183-001-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
503,6178-025-030,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
504,6178-019-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
505,6178-001-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
506,6183-001-034,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
507,6178-017-004,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
508,6183-002-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
509,6178-025-029,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
510,6178-014-006,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
511,6178-023-013,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
512,6178-011-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
513,6178-021-031,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
514,6183-002-017,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
515,6183-005-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
516,6178-020-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
517,6183-003-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
518,6178-023-023,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
519,6183-012-017,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
520,6183-001-018,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
521,6183-003-006,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
522,6184-018-030,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
523,6178-001-033,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
524,6183-005-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
525,6178-016-019,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
526,6178-020-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
527,6178-021-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
528,6183-002-011,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
529,6178-023-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
530,6178-022-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
531,6178-007-900,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
532,6178-025-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
533,6184-018-031,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
534,6178-022-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
535,6183-002-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
536,6178-025-905,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
537,6183-003-024,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
538,6178-017-001,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
539,6183-012-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
540,6178-017-003,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
541,6183-003-902,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
